,Unnamed: 0,Names,RA,DEC,Classification,Tile,X,Y,band_nb,bands_list
274,546,,12.615394592285156,1.2044750452041626,,025.182,tbd,tbd,1,u
275,547,,15.089957237243652,-0.7303104400634766,,030.179,tbd,tbd,1,u
276,549,,19.00718688964844,0.1955879926681518,,038.180,tbd,tbd,1,u
277,550,,19.00718688964844,0.1955879926681518,,038.180,tbd,tbd,1,u
278,551,,23.093978881835938,-0.185239553451538,,046.180,tbd,tbd,1,u
279,552,,23.75979804992676,0.1315908282995224,,048.180,tbd,tbd,1,u
280,554,,28.714067459106445,1.0626089572906494,,057.182,tbd,tbd,1,u
281,555,,30.29524040222168,0.3982073366641998,,061.181,tbd,tbd,1,u
282,558,,41.8409309387207,-0.223445639014244,,084.180,tbd,tbd,1,u
283,559,,43.46981048583984,1.6408071517944336,,087.183,tbd,tbd,1,u
284,560,,41.393165588378906,2.883361339569092,,083.186,tbd,tbd,1,u
285,561,,39.6547737121582,1.8526790142059328,,079.184,tbd,tbd,1,u
286,562,,36.09926986694336,2.4337306022644043,,072.185,tbd,tbd,1,u
287,563,,33.0671501159668,3.0112245082855225,,066.186,tbd,tbd,1,u
288,564,,33.782249450683594,1.5521701574325562,,068.183,tbd,tbd,1,u
289,565,,32.02864456176758,4.914311408996582,,064.190,tbd,tbd,1,u
290,566,,31.179044723510746,2.182080268859864,,062.184,tbd,tbd,1,u
291,567,,27.856563568115234,3.8725016117095934,,056.188,tbd,tbd,1,u
292,568,,28.01996612548828,4.202696323394775,,056.188,tbd,tbd,1,u
293,569,,28.662267684936523,1.6985617876052856,,057.183,tbd,tbd,1,u
294,570,,27.76238441467285,4.336984157562256,,055.189,tbd,tbd,1,u
295,571,,25.257343292236328,3.4616591930389404,,050.187,tbd,tbd,1,u
296,572,,24.35639190673828,4.022209167480469,,049.188,tbd,tbd,1,u
297,573,,24.517480850219727,4.996222496032715,,049.190,tbd,tbd,1,u
298,574,,25.843860626220703,1.858561992645264,,052.184,tbd,tbd,1,u
299,575,,347.8803100585937,4.851767539978027,,693.190,tbd,tbd,1,u
300,576,,347.5196228027344,2.799920082092285,,694.186,tbd,tbd,1,u
301,577,,345.1125183105469,1.693728804588318,,690.183,tbd,tbd,1,u
302,578,,339.4832458496094,3.005059003829956,,678.186,tbd,tbd,1,u
303,579,,339.050048828125,4.990726470947266,,676.190,tbd,tbd,1,u
304,580,,341.22857666015625,3.2641870975494385,,681.187,tbd,tbd,1,u
305,581,,3.324341297149658,2.1587719917297363,,007.184,tbd,tbd,1,u
306,582,,9.611690521240234,1.0636500120162964,,019.182,tbd,tbd,1,u
307,583,,11.251203536987305,2.947804450988769,,022.186,tbd,tbd,1,u
308,584,,17.461387634277344,3.8691794872283936,,035.188,tbd,tbd,1,u
309,585,,16.673124313354492,4.389644622802734,,033.189,tbd,tbd,1,u
310,586,,18.106874465942383,2.8846797943115234,,036.186,tbd,tbd,1,u
311,587,,18.487911224365234,3.551898717880249,,037.187,tbd,tbd,1,u
312,588,,331.45904541015625,4.2568840980529785,,661.188,tbd,tbd,1,u
313,589,,333.2684326171875,2.592933416366577,,666.185,tbd,tbd,1,u
314,590,,333.585205078125,2.9820828437805176,,666.186,tbd,tbd,1,u
315,591,,336.7794189453125,2.583293199539185,,673.185,tbd,tbd,1,u
316,623,,34.361202239990234,7.212686061859131,,068.194,tbd,tbd,1,u
317,624,,31.075746536254883,6.800164699554443,,062.194,tbd,tbd,1,u
